Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.0115642322196962, 0.000001, 28002
Channel 1 (PXI1Slot5/1), -0.0115642322196962, 0.000001, 28002

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-2.98689450172242, -2.97543528917907
-2.98281592212152, -2.96998469214617
-2.98281592212152, -2.97134734140439
-2.98009686905425, -2.97270999066262
-2.97329923638608, -2.97952323695375
-2.97601828945335, -2.97134734140439
-2.98417544865515, -2.9767979384373
-2.98145639558788, -2.97270999066262
-2.98009686905425, -2.96998469214617
-2.98689450172242, -2.97270999066262
-2.98145639558788, -2.97270999066262
-2.98009686905425, -2.97134734140439
-2.97737781598698, -2.97816058769553
-2.97601828945335, -2.9767979384373
-2.98009686905425, -2.97270999066262
-2.98553497518878, -2.97816058769553
-2.97329923638608, -2.97407263992085
-2.98281592212152, -2.97543528917907
-2.97873734252062, -2.97952323695375
-2.97873734252062, -2.97270999066262
-2.98009686905425, -2.97816058769553
-2.98417544865515, -2.97952323695375
-2.98961355478968, -2.9767979384373
-2.98281592212152, -2.97543528917907
-2.98553497518878, -2.96998469214617
-2.98009686905425, -2.96998469214617
-2.97737781598698, -2.97407263992085
-2.98281592212152, -2.97407263992085
-2.98689450172242, -2.97270999066262
-2.97873734252062, -2.97134734140439
-2.98009686905425, -2.97952323695375
-2.97601828945335, -2.97543528917907
-2.98281592212152, -2.97407263992085
-2.98145639558788, -2.97134734140439
-2.98145639558788, -2.9767979384373
-2.98417544865515, -2.97134734140439
-2.98009686905425, -2.97407263992085
-2.97873734252062, -2.98088588621198
-2.97601828945335, -2.97543528917907
-2.98145639558788, -2.97270999066262
-2.98145639558788, -2.97543528917907
-2.98009686905425, -2.9767979384373
-2.98009686905425, -2.9767979384373
-2.98281592212152, -2.97543528917907
-2.98417544865515, -2.97816058769553
-2.98553497518878, -2.9767979384373
-2.98689450172242, -2.97952323695375
-2.98417544865515, -2.9767979384373
-2.98825402825605, -2.97543528917907
-2.97193970985245, -2.97270999066262
-2.97873734252062, -2.97952323695375
-2.98145639558788, -2.9767979384373
-2.98145639558788, -2.9767979384373
-2.97873734252062, -2.96998469214617
-2.98825402825605, -2.97816058769553
-2.97465876291972, -2.9767979384373
-2.97601828945335, -2.97134734140439
-2.97601828945335, -2.9767979384373
-2.97737781598698, -2.9822485354702
-2.98281592212152, -2.97952323695375
-2.98281592212152, -2.98906178176133
-2.98145639558788, -2.97134734140439
-2.98009686905425, -2.97270999066262
-2.97329923638608, -2.97407263992085
-2.98689450172242, -2.9767979384373
-2.97873734252062, -2.98088588621198
-2.98281592212152, -2.97952323695375
-2.98689450172242, -2.9822485354702
-2.97465876291972, -2.96998469214617
-2.98417544865515, -2.9767979384373
-2.97601828945335, -2.97543528917907
-2.98553497518878, -2.97134734140439
-2.98825402825605, -2.97816058769553
-2.97873734252062, -2.97134734140439
-2.97737781598698, -2.96589674437149
-2.98417544865515, -2.96998469214617
-2.98281592212152, -2.97816058769553
-2.97873734252062, -2.9767979384373
-2.98145639558788, -2.97407263992085
-2.98009686905425, -2.96998469214617
-2.98281592212152, -2.97543528917907
-2.98553497518878, -2.9767979384373
-2.97601828945335, -2.9767979384373
-2.98553497518878, -2.97543528917907
-2.98145639558788, -2.96998469214617
-2.97601828945335, -2.9767979384373
-2.98553497518878, -2.9822485354702
-2.98417544865515, -2.9767979384373
-2.98689450172242, -2.97816058769553
-2.98281592212152, -2.97543528917907
-2.98009686905425, -2.96453409511326
-2.97329923638608, -2.97816058769553
-2.97601828945335, -2.97543528917907
-2.98281592212152, -2.9767979384373
-2.98145639558788, -2.97407263992085
-2.98689450172242, -2.97407263992085
-2.97873734252062, -2.97270999066262
-2.98417544865515, -2.97543528917907
-2.98825402825605, -2.98088588621198
-2.97737781598698, -2.98633648324488
-2.98009686905425, -2.97407263992085
-2.97737781598698, -2.98088588621198
-2.98281592212152, -2.97407263992085
-2.98145639558788, -2.97134734140439
-2.98145639558788, -2.97407263992085
-2.98145639558788, -2.97134734140439
-2.97058018331882, -2.97407263992085
-2.97601828945335, -2.9767979384373
-2.97873734252062, -2.98497383398666
-2.99233260785695, -2.97407263992085
-2.98417544865515, -2.97952323695375
-2.97601828945335, -2.97407263992085
-2.98281592212152, -2.97816058769553
-2.98281592212152, -2.97816058769553
-2.97601828945335, -2.97543528917907
-2.98145639558788, -2.9767979384373
-2.98009686905425, -2.97270999066262
-2.99097308132332, -2.97407263992085
-2.97737781598698, -2.97270999066262
-2.98281592212152, -2.97816058769553
-2.98145639558788, -2.97952323695375
-2.97873734252062, -2.97270999066262
-2.98009686905425, -2.97134734140439
-2.97737781598698, -2.97952323695375
-2.97737781598698, -2.98088588621198
-2.98145639558788, -2.97134734140439
-2.98145639558788, -2.97543528917907
-2.97873734252062, -2.97134734140439
-2.98417544865515, -2.97543528917907
-2.97873734252062, -2.97543528917907
-2.97601828945335, -2.9767979384373
-2.98689450172242, -2.98497383398666
-2.98145639558788, -2.97407263992085
-2.98825402825605, -2.96998469214617
-2.98553497518878, -2.97407263992085
-2.98145639558788, -2.98088588621198
-2.98145639558788, -2.97543528917907
-2.98009686905425, -2.97952323695375
-2.98281592212152, -2.96725939362972
-2.98145639558788, -2.9767979384373
-2.98689450172242, -2.96453409511326
-2.97873734252062, -2.9767979384373
-2.98281592212152, -2.97134734140439
-2.97465876291972, -2.97270999066262
-2.98145639558788, -2.98088588621198
-2.97873734252062, -2.96998469214617
-2.98553497518878, -2.97543528917907
-2.97329923638608, -2.97407263992085
-2.97873734252062, -2.96862204288794
-2.97465876291972, -2.98088588621198
-2.98145639558788, -2.98361118472843
-2.98009686905425, -2.97270999066262
-2.98281592212152, -2.97270999066262
-2.98417544865515, -2.96998469214617
-2.97737781598698, -2.97134734140439
-2.98009686905425, -2.99042443101956
-2.99233260785695, -2.97952323695375
-2.97193970985245, -2.97816058769553
-2.98009686905425, -2.97816058769553
-2.98009686905425, -2.97816058769553
-2.98009686905425, -2.97543528917907
-2.98417544865515, -2.97134734140439
-2.97601828945335, -2.97134734140439
-2.98825402825605, -2.96862204288794
-2.97873734252062, -2.96862204288794
-2.98009686905425, -2.97952323695375
-2.97873734252062, -2.97134734140439
-2.98145639558788, -2.97407263992085
-2.98145639558788, -2.96725939362972
-2.97737781598698, -2.97134734140439
-2.97601828945335, -2.97952323695375
-2.97873734252062, -2.97816058769553
-2.98009686905425, -2.97816058769553
-2.98145639558788, -2.97270999066262
-2.98417544865515, -2.97134734140439
-2.98281592212152, -2.96589674437149
-2.98553497518878, -2.96998469214617
-2.98281592212152, -2.97816058769553
-2.98281592212152, -2.97952323695375
-2.98689450172242, -2.97134734140439
-2.97873734252062, -2.97134734140439
-2.99097308132332, -2.97952323695375
-2.97737781598698, -2.96862204288794
-2.98145639558788, -2.97952323695375
-2.97873734252062, -2.97816058769553
-2.98417544865515, -2.98497383398666
-2.97193970985245, -2.97134734140439
-2.98145639558788, -2.97816058769553
-2.98689450172242, -2.97134734140439
-2.99097308132332, -2.96998469214617
-2.97873734252062, -2.97270999066262
-2.97058018331882, -2.97270999066262
-2.97601828945335, -2.97407263992085
-2.98281592212152, -2.9767979384373
-2.98281592212152, -2.97134734140439
-2.98145639558788, -2.9767979384373
-2.97737781598698, -2.97270999066262
-2.97873734252062, -2.97816058769553
-2.97737781598698, -2.97952323695375
-2.97737781598698, -2.98088588621198
-2.98553497518878, -2.96725939362972
-2.98145639558788, -2.97816058769553
-2.97465876291972, -2.96589674437149
-2.97737781598698, -2.97134734140439
-2.97873734252062, -2.97270999066262
-2.98009686905425, -2.97816058769553
-2.98281592212152, -2.97543528917907
-2.98417544865515, -2.97407263992085
-2.98145639558788, -2.9767979384373
-2.97873734252062, -2.97407263992085
-2.98281592212152, -2.97407263992085
-2.98281592212152, -2.97543528917907
-2.98281592212152, -2.97543528917907
-2.97737781598698, -2.97543528917907
-2.98281592212152, -2.98088588621198
-2.98553497518878, -2.97407263992085
-2.97873734252062, -2.97816058769553
-2.98009686905425, -2.96725939362972
-2.97873734252062, -2.97407263992085
-2.97873734252062, -2.97816058769553
-2.98961355478968, -2.97270999066262
-2.98145639558788, -2.98088588621198
-2.98281592212152, -2.98361118472843
-2.97873734252062, -2.97407263992085
-2.98281592212152, -2.96862204288794
-2.98145639558788, -2.98088588621198
-2.98281592212152, -2.97816058769553
-2.98145639558788, -2.97816058769553
-2.98145639558788, -2.97816058769553
-2.98961355478968, -2.97952323695375
-2.98553497518878, -2.97407263992085
-2.98009686905425, -2.98361118472843
-2.98281592212152, -2.97270999066262
-2.98009686905425, -2.97270999066262
-2.98281592212152, -2.96998469214617
-2.98553497518878, -2.97543528917907
-2.98145639558788, -2.97543528917907
-2.97873734252062, -2.97134734140439
-2.98009686905425, -2.97952323695375
-2.97737781598698, -2.97952323695375
-2.98009686905425, -2.97134734140439
-2.98553497518878, -2.96862204288794
-2.97329923638608, -2.98088588621198
-2.97465876291972, -2.9767979384373
-2.98145639558788, -2.9822485354702
-2.98417544865515, -2.97270999066262
-2.98417544865515, -2.96862204288794
-2.98281592212152, -2.97407263992085
-2.97601828945335, -2.97407263992085
-2.98961355478968, -2.98497383398666
-2.98417544865515, -2.96998469214617
-2.97737781598698, -2.9767979384373
-2.97873734252062, -2.9767979384373
-2.98281592212152, -2.97407263992085
-2.97601828945335, -2.96044614733859
-2.98009686905425, -2.97543528917907
-2.97737781598698, -2.9767979384373
-2.98145639558788, -2.9767979384373
-2.98009686905425, -2.97134734140439
-2.97737781598698, -2.97816058769553
-2.97737781598698, -2.9767979384373
-2.98825402825605, -2.97134734140439
-2.98281592212152, -2.97543528917907
-2.98281592212152, -2.97543528917907
-2.98417544865515, -2.9767979384373
-2.97873734252062, -2.97270999066262
-2.98553497518878, -2.96725939362972
-2.98281592212152, -2.97407263992085
-2.97737781598698, -2.96862204288794
-2.98145639558788, -2.9767979384373
-2.98417544865515, -2.9767979384373
-2.97193970985245, -2.97407263992085
-2.97601828945335, -2.97543528917907
-2.98825402825605, -2.97270999066262
-2.98281592212152, -2.9767979384373
-2.98281592212152, -2.97816058769553
-2.98145639558788, -2.96725939362972
-2.97873734252062, -2.97543528917907
-2.98145639558788, -2.97270999066262
-2.98553497518878, -2.96998469214617
-2.98145639558788, -2.9822485354702
-2.98145639558788, -2.96725939362972
-2.98553497518878, -2.97270999066262
-2.97601828945335, -2.97952323695375
-2.98689450172242, -2.97407263992085
-2.98825402825605, -2.97407263992085
-2.98553497518878, -2.97543528917907
-2.98417544865515, -2.97816058769553
-2.98145639558788, -2.96589674437149
-2.98553497518878, -2.98088588621198
-2.98825402825605, -2.97407263992085
-2.98689450172242, -2.97816058769553
-2.97737781598698, -2.97270999066262
-2.98417544865515, -2.97407263992085
-2.98417544865515, -2.97543528917907
-2.98825402825605, -2.98497383398666
-2.98281592212152, -2.96862204288794
-2.98417544865515, -2.97407263992085
-2.98145639558788, -2.97407263992085
-2.98281592212152, -2.96998469214617
-2.97465876291972, -2.9767979384373
-2.98009686905425, -2.97134734140439
-2.97058018331882, -2.97952323695375
-2.98145639558788, -2.97816058769553
-2.97873734252062, -2.98361118472843
-2.98281592212152, -2.9767979384373
-2.98009686905425, -2.97407263992085
-2.98825402825605, -2.97270999066262
-2.97737781598698, -2.97952323695375
-2.98145639558788, -2.96589674437149
-2.99233260785695, -2.97543528917907
-2.99233260785695, -2.97816058769553
-2.98009686905425, -2.97816058769553
-2.97737781598698, -2.96862204288794
-2.97737781598698, -2.96862204288794
-2.98689450172242, -2.97816058769553
-2.97873734252062, -2.96998469214617
-2.98417544865515, -2.97134734140439
-2.97873734252062, -2.97407263992085
-2.98281592212152, -2.98497383398666
-2.98145639558788, -2.97407263992085
-2.98145639558788, -2.97407263992085
-2.98145639558788, -2.97407263992085
-2.98417544865515, -2.97134734140439
-2.97873734252062, -2.97134734140439
-2.98281592212152, -2.9767979384373
-2.98553497518878, -2.97407263992085
-2.98009686905425, -2.96862204288794
-2.98145639558788, -2.97270999066262
-2.98145639558788, -2.97407263992085
-2.97465876291972, -2.97134734140439
-2.97873734252062, -2.9822485354702
-2.98145639558788, -2.97543528917907
-2.98009686905425, -2.96998469214617
-2.98961355478968, -2.97952323695375
-2.98825402825605, -2.9822485354702
-2.98281592212152, -2.97134734140439
-2.98825402825605, -2.97952323695375
-2.98553497518878, -2.97270999066262
-2.97737781598698, -2.97816058769553
-2.98009686905425, -2.96998469214617
-2.98145639558788, -2.96998469214617
-2.98281592212152, -2.97952323695375
-2.98553497518878, -2.9767979384373
-2.98553497518878, -2.97816058769553
-2.98009686905425, -2.97270999066262
-2.98417544865515, -2.9822485354702
-2.97737781598698, -2.9822485354702
-2.97737781598698, -2.97270999066262
-2.97737781598698, -2.97952323695375
-2.98281592212152, -2.97543528917907
-2.98825402825605, -2.97543528917907
-2.98145639558788, -2.97270999066262
-2.97737781598698, -2.98088588621198
-2.98553497518878, -2.98088588621198
-2.98281592212152, -2.97407263992085
-2.98145639558788, -2.97270999066262
-2.98009686905425, -2.97270999066262
-2.97737781598698, -2.96998469214617
-2.98145639558788, -2.97816058769553
-2.98689450172242, -2.97816058769553
-2.97465876291972, -2.97816058769553
-2.97465876291972, -2.97134734140439
-2.98009686905425, -2.96725939362972
-2.98145639558788, -2.97134734140439
-2.97737781598698, -2.97134734140439
-2.98009686905425, -2.97270999066262
-2.98281592212152, -2.97543528917907
-2.98281592212152, -2.97816058769553
-2.98009686905425, -2.96317144585504
-2.98145639558788, -2.96998469214617
-2.98281592212152, -2.97952323695375
-2.98281592212152, -2.96998469214617
-2.98281592212152, -2.97270999066262
-2.97873734252062, -2.97270999066262
-2.97873734252062, -2.9767979384373
-2.97873734252062, -2.96862204288794
-2.98281592212152, -2.97270999066262
-2.98281592212152, -2.97270999066262
-2.98145639558788, -2.97952323695375
-2.97601828945335, -2.97134734140439
-2.97601828945335, -2.97407263992085
-2.97873734252062, -2.96725939362972
-2.97465876291972, -2.97407263992085
-2.97601828945335, -2.97270999066262
-2.97873734252062, -2.97270999066262
-2.98009686905425, -2.96998469214617
-2.98281592212152, -2.97270999066262
-2.98689450172242, -2.97407263992085
-2.97329923638608, -2.96998469214617
-2.98281592212152, -2.9767979384373
-2.98009686905425, -2.96725939362972
-2.98281592212152, -2.97407263992085
-2.98417544865515, -2.97270999066262
-2.98009686905425, -2.97134734140439
-2.98281592212152, -2.97270999066262
-2.98553497518878, -2.97407263992085
-2.98417544865515, -2.97407263992085
-2.98281592212152, -2.97134734140439
-2.98825402825605, -2.96317144585504
-2.98281592212152, -2.97816058769553
-2.98417544865515, -2.97543528917907
-2.97329923638608, -2.96998469214617
-2.97737781598698, -2.97816058769553
-2.98689450172242, -2.96725939362972
-2.98009686905425, -2.97952323695375
-2.98281592212152, -2.97816058769553
-2.97601828945335, -2.97543528917907
-2.98689450172242, -2.96725939362972
-2.98145639558788, -2.97952323695375
-2.98281592212152, -2.97407263992085
-2.98553497518878, -2.98088588621198
-2.97737781598698, -2.97407263992085
-2.98961355478968, -2.9767979384373
-2.98961355478968, -2.97816058769553
-2.98417544865515, -2.97543528917907
-2.98825402825605, -2.98088588621198
-2.98281592212152, -2.97134734140439
-2.97601828945335, -2.96317144585504
-2.98689450172242, -2.9767979384373
-2.98417544865515, -2.97543528917907
-2.98009686905425, -2.9767979384373
-2.98689450172242, -2.98088588621198
-2.97601828945335, -2.96998469214617
-2.98281592212152, -2.97952323695375
-2.98281592212152, -2.98088588621198
-2.98417544865515, -2.97270999066262
